latitude,longitude,fire_occurred,temperature_c,humidity_percent
15.72708,101.18056,1,34.29195606133025,21.33870642539099
17.90134,-93.18772,1,42.06707785204275,42.867179490351035
69.9043373443152,26.033642729536638,0,5.285279172013649,32.80843339798943
22.24296,-83.88832,1,33.788051527637805,25.49115378055017
6.64839,12.2096,1,39.874735443674396,17.734096067563424
52.76422154875772,101.81041248486343,0,20.125251789106184,51.57269048678832
3.877775079690892,-125.88731128253852,0,42.45305306599553,63.1337479268917
-79.29773285294965,126.80163319962975,0,16.969859435016705,27.174213915126536
9.047497600344201,-48.70710829869651,0,10.075208136452225,65.71422693828754
-60.616267658927285,50.711153781512195,0,9.264944513394202,62.3332717908721
23.490240479444935,-67.25753949251607,0,6.692431204635232,60.915048367840775
6.35184,9.59204,1,30.032253824482723,10.745963237418065
45.19096,123.2476,1,31.42621021227818,31.342800557715265
13.42935,-89.00615,1,34.16695494739049,26.27079341677097
17.24368,105.82366,1,33.22806257340431,18.368732657260306
43.08972220650003,-52.338143621239695,0,42.59150628212025,59.28648694691305
73.02679929889109,-103.58696108365098,0,24.179639844812232,34.54651707805769
1.84466,104.08765,1,34.51764020970089,21.79535999737361
5.353921130739238,147.1221877007299,0,13.169143086306159,27.766324781250603
47.06128,123.92571,1,27.432140246805105,23.128779835421273
42.88465,123.76517,1,24.379421501691407,36.406772111442166
32.619018033285315,-178.0328676446395,0,20.789034961992215,60.88605001183679
67.27061060700927,69.86564106342374,0,28.931600107371523,79.36902316948168
0.9069949713058065,51.54792274338158,0,25.656718928137447,36.34112614714525
45.49581,126.62547,1,41.61928106181447,16.519993645794308
55.22441355959697,66.04805576143471,0,16.84388472697871,67.681239515537
27.68562,-99.46302,1,20.487409956843514,18.700306046352726
-47.6571631035361,38.15947908718795,0,9.825443025668708,52.775037382705015
17.913887916214875,4.0502391352313225,0,12.784484042967996,78.63219421946614
20.05022,80.19206,1,37.505130332230124,21.43670097992996
-28.766810118360176,4.329762281178773,0,16.66022577425885,96.59520364076567
19.58056,81.10695,1,38.93355402730947,26.8535101834139
-19.282209714514096,160.3161499741093,0,25.04464703076195,32.522261752442255
29.460365434357428,-116.90146213337027,0,25.90240560702218,66.51862103505493
-33.05156047079771,84.88920566552497,0,19.773872493475263,125.13644440315208
67.4120212357405,74.74531668179688,0,40.92697922513277,110.38614185731262
4.136276999441975,30.727265614338904,0,18.90788001213611,66.8170306743713
-43.42596831780215,3.5674614911430353,0,10.249758892195075,33.84242890749845
